sensor_index,count,min,median,max,mean,std,gt250_frac,gt500_frac,gt1000_frac,name,latitude,longitude,remove_reason
4355,264,0.9,8.7,22.5,9.441666666666666,5.038740286573486,0.0,0.0,0.0,Laurel/California,36.968987,-122.03479,
5488,175,1.7,13.8,52.9,15.545142857142858,10.084594308376124,0.0,0.0,0.0,Spruce @ 16th,36.618027,-121.919815,
5650,264,0.7,8.5,30.8,9.895454545454546,6.175006210016595,0.0,0.0,0.0,Midtown Santa Cruz,36.981,-122.012,
7846,264,0.2,6.6,36.1,9.638257575757576,7.723383977913089,0.0,0.0,0.0,Hillside Ave,36.603,-121.9294,
9190,261,0.0,2.5,25.6,4.376245210727969,4.90054656304412,0.0,0.0,0.0,CCA Tierra Grande and Via Paloma,36.537224,-121.79822,
9750,264,0.0,0.7,15.8,1.6090909090909091,2.2133007728493994,0.0,0.0,0.0,Las Cumbres,37.208908,-122.06513,
11032,172,1.0,8.350000000000001,45.4,11.188953488372093,9.5620684014905,0.0,0.0,0.0,Hollister_snnyslp_ln,36.83655,-121.37074,
18561,264,0.3,5.7,32.7,8.280681818181819,7.065971439587583,0.0,0.0,0.0,Del Rey Oaks,36.591408,-121.83396,
18877,264,0.0,1.3,17.8,2.678787878787879,3.4456018210475396,0.0,0.0,0.0,"Los Gatos, CA",37.143368,-122.01382,
19211,264,1.0,10.75,36.8,12.395454545454546,8.030165216530115,0.0,0.0,0.0,SempleAve ,36.967335,-121.88514,
19457,264,0.2,4.75,22.4,6.099242424242425,4.452222006225438,0.0,0.0,0.0,Soquel Elementary,36.985897,-121.95652,
19463,264,0.4,5.8,18.2,6.549621212121211,3.578941344692569,0.0,0.0,0.0,downtown on River Street,36.97847,-122.02638,
19669,264,0.0,11.2,41.7,13.659848484848483,11.191831349262728,0.0,0.0,0.0,Country Estates,37.050777,-122.15775,
19733,264,0.9,6.75,34.9,10.36401515151515,8.222395491554844,0.0,0.0,0.0,Grooming bays,36.924152,-121.81189,
20383,264,0.0,2.0,42.8,4.259848484848485,6.150524536022164,0.0,0.0,0.0,Firhaven Ln,37.10173,-121.90174,
20573,264,0.0,2.45,21.5,3.446212121212121,3.696075512022847,0.0,0.0,0.0,Madrone Place AQI,37.246506,-122.126465,
20607,264,1.0,7.7,34.1,10.609848484848484,7.641430597336737,0.0,0.0,0.0,Spencer Ct,36.982265,-121.98709,
21887,264,1.1,11.45,33.6,13.197727272727272,7.604571027907686,0.0,0.0,0.0,Fish,36.967377,-122.043,
22427,264,0.0,1.9,19.2,3.3000000000000003,3.5766670978044792,0.0,0.0,0.0,BigSurMiddleRoad,36.254562,-121.81609,
29349,260,0.4,7.6,33.6,9.584615384615384,7.692160794558162,0.0,0.0,0.0,Front Porch Aromas,36.905457,-121.65945,
33673,264,1.7,8.3,35.4,10.175378787878788,6.768218608019111,0.0,0.0,0.0,Fairhaven,36.5681,-121.96127,
34125,264,1.4,9.0,43.6,11.431060606060607,7.6053426545850895,0.0,0.0,0.0,PG-Lighthouse,36.617977,-121.90805,
36239,264,0.1,11.8,59.8,14.152272727272727,12.61401818974099,0.0,0.0,0.0,Jackson Ave,37.081284,-122.09461,
36559,264,0.9,6.6,41.7,10.878409090909091,9.435199634146105,0.0,0.0,0.0,SJGR Salinas,36.75225,-121.62232,
36619,264,0.0,1.6,17.9,2.706818181818182,3.309594146067365,0.0,0.0,0.0,Empire/Pine Flat,37.0837,-122.13436,
38661,264,0.0,1.5,20.6,2.7632575757575757,3.4064206867883544,0.0,0.0,0.0,Lower Favre,37.190155,-122.05823,
39489,264,0.0,1.3,15.3,2.004545454545455,2.311152121173247,0.0,0.0,0.0,IRR-IRW,37.25159,-122.12254,
42967,264,0.2,5.3,21.7,6.325757575757576,4.383179414684184,0.0,0.0,0.0,Bonny Doon,37.048027,-122.16178,
46465,264,0.2,12.95,45.5,15.129924242424243,9.7303948545091,0.0,0.0,0.0,Lompico Park,37.104336,-122.050674,
53503,264,0.1,4.1,26.2,6.317803030303031,5.735602350099756,0.0,0.0,0.0,Elk Run,36.58021,-121.86322,
53877,264,0.2,5.25,40.0,8.381060606060606,7.742310131428338,0.0,0.0,0.0,PA-2 Colleen,36.990856,-121.93677,
54745,264,0.0,2.8499999999999996,31.1,5.745454545454545,6.543494300702438,0.0,0.0,0.0,Granite Ridge,37.060158,-121.99086,
55171,264,0.3,9.55,84.1,14.811363636363636,14.579793025737692,0.0,0.0,0.0,Timber Ridge,37.07026,-121.98965,
55699,264,0.6,5.3,31.2,8.145833333333334,6.814978866108142,0.0,0.0,0.0,Viewpoint,36.98682,-121.91102,
56033,264,0.2,4.0,69.8,7.334848484848485,8.306257523421543,0.0,0.0,0.0,Monterey,36.577515,-121.85851,
60165,264,0.9,7.300000000000001,42.5,8.801893939393938,5.808676168699272,0.0,0.0,0.0,K&amp;S Lockwood,35.923088,-121.07588,
60283,257,0.4,8.5,44.1,12.12762645914397,10.638747329217018,0.0,0.0,0.0,Front Porch,36.88689,-121.58291,
60313,264,0.0,4.4,63.2,14.470075757575756,18.900915703819972,0.0,0.0,0.0,Timber Ridge Lane,37.06883,-121.98734,
60549,264,1.3,12.2,32.4,13.379545454545454,7.292698975532716,0.0,0.0,0.0,alta,36.954903,-122.0388,
60829,264,0.2,10.850000000000001,39.5,11.332954545454546,7.2527596152050195,0.0,0.0,0.0,QUIEN SABE,37.04412,-122.02001,
60843,264,0.6,7.4,29.3,9.871212121212121,6.849001817900296,0.0,0.0,0.0,eyeCatchLight Photography,36.969906,-122.048134,
62207,264,1.0,6.05,20.3,7.040909090909091,4.359247057905323,0.0,0.0,0.0,15th Avenue,36.96255,-121.99147,
63111,264,0.1,6.8,18.3,6.883712121212121,3.879339817870318,0.0,0.0,0.0,Marley,37.001842,-122.01962,
63115,264,0.2,5.25,37.0,7.525757575757575,6.643709637762094,0.0,0.0,0.0,Camino Real,36.558426,-121.927345,
63213,264,0.8,4.0,16.2,5.520075757575757,3.991894638881038,0.0,0.0,0.0,Canon Del Sol - La Selva Beach,36.92184,-121.85166,
63507,264,0.1,5.05,79.9,6.771590909090909,8.033706778796056,0.0,0.0,0.0,Granite Creek Rd,37.036686,-121.99748,
63873,264,1.0,10.4,41.5,12.441287878787879,8.386785722845028,0.0,0.0,0.0,Capitola Mall/Live Oak,36.970737,-121.9691,
63933,264,0.9,10.45,46.9,12.852651515151514,9.294202400740437,0.0,0.0,0.0,Colton out,36.591637,-121.90228,
64315,264,0.0,3.3,42.2,8.497727272727273,10.669764437046727,0.0,0.0,0.0,Darwin's House,37.141586,-121.97135,
64447,264,1.2,7.85,38.7,10.718560606060606,7.812400947638001,0.0,0.0,0.0,Hawthorne and Drake,36.611008,-121.9008,
64711,264,0.1,5.5,41.4,9.18030303030303,7.874726762296411,0.0,0.0,0.0,Stance Ave,36.993504,-121.94746,
65421,264,0.3,27.5,73.1,29.305681818181817,18.986999902902625,0.0,0.0,0.0,Brackney,37.067093,-122.0805,
65657,264,1.4,9.9,87.9,12.940151515151515,9.628319761091383,0.0,0.0,0.0,Pleasure Point,36.958485,-121.97253,
65695,264,0.2,6.7,33.4,9.76098484848485,7.395026625932367,0.0,0.0,0.0,Western Court,36.96797,-122.05804,
65947,264,1.3,6.35,26.4,7.868560606060607,4.862485029067945,0.0,0.0,0.0,Sunny Cove,36.961082,-121.98862,
66169,264,0.0,3.8,41.9,8.64280303030303,10.349729763698555,0.0,0.0,0.0,End of Echo Drive,37.142715,-121.97199,
66185,264,0.6,9.2,36.8,12.57689393939394,9.550300903632571,0.0,0.0,0.0,SanMiguelCyn / TwinLakes Dr,36.87375,-121.689995,
66355,264,0.4,5.5,31.3,7.076515151515152,6.328616399205015,0.0,0.0,0.0,Carmel Valley Ranch,36.5185,-121.79684,
66419,51,7.8,12.8,35.4,13.762745098039215,5.250712743402128,0.0,0.0,0.0,Christensen Ranch Airport,36.871403,-121.337685,
67193,264,1.9,9.4,40.7,14.089015151515152,10.165063209493656,0.0,0.0,0.0,Crest Lane Outdoors,36.91816,-121.83805,
67323,264,0.1,4.55,25.1,7.784090909090909,7.248976112784434,0.0,0.0,0.0,LV outside,36.996357,-121.874214,
67349,264,0.0,3.9,37.7,7.258712121212121,8.206155521870768,0.0,0.0,0.0,Fontenay Villa,37.08076,-121.97402,
67379,264,1.6,11.1,32.8,12.753030303030304,7.536021879170521,0.0,0.0,0.0,Roof,36.973373,-121.90826,
67465,264,0.0,2.25,22.6,3.6609848484848486,4.117240088522603,0.0,0.0,0.0,Agrinemsors - outside,36.46259,-121.729294,
67477,264,1.4,13.1,41.3,14.719696969696969,7.902744764495838,0.0,0.0,0.0,MH outside,36.968086,-122.03695,
67817,264,0.3,5.8,36.8,8.29280303030303,7.355176218705011,0.0,0.0,0.0,CBS_SV,36.55621,-121.91748,
68057,264,0.0,0.9,18.1,1.9553030303030305,2.86942223073596,0.0,0.0,0.0,SCT Outside,36.43751,-121.79037,
68117,264,0.9,12.3,46.7,14.79469696969697,10.082762570273486,0.0,0.0,0.0,Lynwood Place (Outside),36.94366,-121.797195,
68515,144,0.0,2.1500000000000004,22.3,3.1333333333333333,3.410698921462745,0.0,0.0,0.0,Lower Beatty,37.204376,-122.077896,
68533,264,0.4,4.8,26.7,6.057954545454545,5.121424207608254,0.0,0.0,0.0,N.H. Hatton Road,36.54794,-121.9143,
69259,264,0.1,2.8,33.9,5.851515151515152,7.369374349559944,0.0,0.0,0.0,Summit West - Mountain Charlie,37.133663,-121.99027,
69267,185,0.3,3.2,33.2,6.1816216216216215,7.056148072207757,0.0,0.0,0.0,Calera Wine Company,36.738834,-121.37092,
69557,264,0.5,12.7,34.7,12.909848484848483,8.284250115547929,0.0,0.0,0.0,Ashley and Balir,37.053818,-122.076485,
69681,264,1.1,11.149999999999999,109.0,15.4625,13.958678665118907,0.0,0.0,0.0,Front Porch,36.876312,-121.62787,
69899,264,1.4,8.55,40.1,11.039015151515152,8.045471565706917,0.0,0.0,0.0,The Dunes Marina,36.66424,-121.80471,
70475,264,0.2,17.35,34.4,16.448863636363637,9.429074778325315,0.0,0.0,0.0,Aviator Ct,37.0524,-122.03299,
70729,264,0.2,24.85,1842.7,140.99772727272727,432.56171743053045,0.07575757575757576,0.07196969696969698,0.07196969696969698,Bluebonnet,37.050243,-122.02595,repeated_extreme_spikes
70871,264,0.0,0.2,2.6,0.28295454545454546,0.27084781307956457,0.0,0.0,0.0,Bear Creek Rec,37.141594,-122.08988,
71541,264,2.1,6.5,18.1,7.2727272727272725,3.3449488827183314,0.0,0.0,0.0,Felton Heights,37.042908,-122.089485,
71791,264,0.1,3.0,13.7,4.500757575757576,3.589072901295947,0.0,0.0,0.0,Schiller2,36.970497,-122.05811,
71793,264,0.4,13.05,43.1,15.088257575757577,9.752654625156422,0.0,0.0,0.0,Quail Hollow Bowl,37.08128,-122.07145,
72253,264,1.0,11.95,164.5,17.601136363636364,18.128438014993563,0.0,0.0,0.0,Buena Vista Outside,37.1509,-122.1251,
72333,264,0.3,5.75,25.7,8.03560606060606,6.1796505564728506,0.0,0.0,0.0,Spring Street Outside,36.982567,-122.04551,
72573,264,0.2,6.7,37.3,10.214772727272727,9.290539033743107,0.0,0.0,0.0,Sensor3,36.82974,-121.64596,
72597,264,0.1,0.4,8.0,0.781060606060606,1.106368194528507,0.0,0.0,0.0,San Bernabe,36.589924,-121.90349,
73195,264,0.9,23.549999999999997,80.2,23.74507575757576,11.502093312288038,0.0,0.0,0.0,Hihn/Azalea,37.074978,-122.07756,
73215,264,1312.8,1669.0,1679.2,1663.2541666666666,31.74096652524789,1.0,1.0,1.0,Pacific Elementary School,37.011806,-122.19473,stuck_high
73219,264,0.2,5.25,49.6,8.963636363636365,9.764144640821621,0.0,0.0,0.0,CV Village,36.481075,-121.733665,
73589,264,5.3,66.6,113.4,63.56439393939394,19.043027655624797,0.0,0.0,0.0,HolbrookHouse,37.05646,-122.02592,
73683,264,0.8,8.850000000000001,35.8,10.213636363636365,6.533677281427063,0.0,0.0,0.0,Harper Court,36.97484,-121.989395,
74183,264,0.0,0.9,47.0,1.9928030303030304,3.6427104800771333,0.0,0.0,0.0,Shear Creek,37.202442,-122.06677,
74529,264,0.3,2.6,20.0,4.142045454545454,3.9182148955242075,0.0,0.0,0.0,Edgefield Drive,36.56183,-121.90849,
74825,264,0.9,8.25,36.4,10.947727272727272,7.245042525955494,0.0,0.0,0.0,Nobel Gulch Park,36.97698,-121.95003,
75019,264,0.5,7.1,42.5,11.146590909090909,10.532801730227435,0.0,0.0,0.0,The Cosmic Center,36.816586,-121.73004,
75153,264,0.4,6.35,38.4,9.184469696969696,7.859847986068001,0.0,0.0,0.0,Spyglass #16,36.586884,-121.94758,
75753,264,0.7,6.1,41.3,9.989772727272728,8.854554022894003,0.0,0.0,0.0,"Corallitos, CA",36.978012,-121.82062,
76373,264,0.5,6.9,30.9,9.653409090909092,7.017375754396804,0.0,0.0,0.0,OnTheCliff,36.962433,-122.05608,
76499,264,0.1,5.5,59.2,7.243181818181818,7.211336588238665,0.0,0.0,0.0,Harper,36.568073,-121.70494,
77051,264,0.1,16.65,110.6,16.421212121212122,11.822476693957494,0.0,0.0,0.0,Navigator Drive,37.05044,-122.03397,
77451,264,0.9,22.0,110.6,23.636363636363637,14.665029263677864,0.0,0.0,0.0,Big Foot Hill,37.038143,-122.07705,
77841,264,0.1,5.1,26.3,8.916287878787879,7.572955674678876,0.0,0.0,0.0,MVRR,36.97136,-121.86338,
78287,264,0.3,3.3,31.7,5.978787878787879,6.7628770881900975,0.0,0.0,0.0,Big Redwood Park,37.114243,-121.98243,
78433,264,0.0,2.9,26.7,5.412878787878788,5.963213022506546,0.0,0.0,0.0,Pippin,37.04834,-121.96994,
78919,264,0.0,0.1,2.5,0.15113636363636362,0.21783290672119515,0.0,0.0,0.0,19yoZemite,36.617065,-121.828094,
80409,264,0.6,7.7,22.0,8.111742424242424,4.525732761493933,0.0,0.0,0.0,Live Oak Santa Cruz,36.97257,-121.990425,
80813,264,1.2,9.7,36.8,12.252272727272727,7.86056689592659,0.0,0.0,0.0,Hickman Ct.,36.959995,-121.97731,
81047,264,0.6,7.85,35.5,10.631818181818183,7.742405263688842,0.0,0.0,0.0,Dover and Howe Outdoor,36.99021,-121.972244,
81075,264,0.2,5.15,37.3,5.708712121212121,5.085336394360447,0.0,0.0,0.0,Wente Greenfield Office,36.279583,-121.30499,
